,addr1,firstimage2,mapx,mapy,title
53,강원도 강릉시 사천면 중앙서로 62,,128.843283178,37.824514771,갈골한과마을 명인의 집
54,강원도 강릉시 강릉대로 33,,128.8758158157,37.752184886,강릉 녹색도시체험센터
55,강원도 강릉시 창해로14번길 20-1,,128.9473504054,37.7726505813,강릉커피거리
56,강원도 강릉시 구정면 수목원길 156,http://tong.visitkorea.or.kr/cms/resource/14/2395814_image3_1.jpg,128.8617409792,37.6979158879,강릉 솔향수목원
57,강원도 강릉시 연곡면 삼산리,,128.6252576608,37.8490410319,송천약수
58,강원 강릉시 병산동,,128.9513029697,37.7680511909,솔바람다리
59,강원도 강릉시 강동면 율곡로 1715-85,,128.99857247,37.7186189405,임해자연휴양림
60,강원도 강릉시 주문진읍 해안로 1758-22,http://tong.visitkorea.or.kr/cms/resource/84/2656584_image3_1.jpg,128.829901872,37.8876433088,주문진항
61,강원도 강릉시 사천면 한과마을길 20,http://tong.visitkorea.or.kr/cms/resource/14/1584014_image3_1.jpg,128.8328344506,37.8138296931,강릉 모래내 한과마을(갈골한과)
62,강원도 강릉시 연곡면 진고개로 1502,http://tong.visitkorea.or.kr/cms/resource/87/1841487_image3_1.jpg,128.7035534717,37.8455762824,소금강장천마을
63,강원도 강릉시 연곡면 싸리골길 170,http://tong.visitkorea.or.kr/cms/resource/68/2394668_image3_1.jpg,128.703339168,37.8596524244,현덕사(강릉)
64,강원도 강릉시 성산면 성연로 17,http://tong.visitkorea.or.kr/cms/resource/22/2494322_image2_1.jpg,128.8150638568,37.7229426427,대굴령마을
65,강원도 강릉시 옥계면 도직리,http://tong.visitkorea.or.kr/cms/resource/22/622222_image3_1.jpg,129.0676585323,37.6093412454,도직해변
66,강원도 강릉시 옥계면 헌화로 271,http://tong.visitkorea.or.kr/cms/resource/99/2020699_image3_1.jpg,129.043512544,37.6395761724,금진해변
67,강원도 강릉시 강동면 염전길 171,,128.983364785,37.741843737,염전해변
68,강원도 강릉시 해안로 682-5,http://tong.visitkorea.or.kr/cms/resource/78/1581278_image3_1.jpg,128.8931261433,37.8168194119,순긋해변
69,강원도 강릉시 사천면 진리해변길 155,,128.8719216484,37.8442824849,하평해변(강릉)
70,강원도 강릉시 사천면 진리해변길 111,http://tong.visitkorea.or.kr/cms/resource/97/1581197_image3_1.jpg,128.8753492114,37.8412245725,사천진해변(사천뒷불해수욕장)
71,강원도 강릉시 창해로 352,,128.9190439335,37.7948530151,강문해변
72,강원도 강릉시 율곡로3139번길 24,http://tong.visitkorea.or.kr/cms/resource/69/2688069_image3_1.jpg,128.8776814918,37.7787651808,강릉 오죽헌
